ORDERNUMBER, ORDERDATE      , SALES   , STATUS    , QTR_ID, MONTH_ID, YEAR_ID, ORDERLINENUMBER, QUANTITYORDERED, PRICEEACH, PRODUCTCODE, CUSTOMERNAME
      10107, 2/24/2003 0:00 ,  2871.0 , Shipped   ,      1,        2,    2003,               2,              30,     95.7 , S10_1678   , Land of Toys Inc.
      10121, 5/7/2003 0:00  ,  2765.9 , Shipped   ,      2,        5,    2003,               5,              34,     81.35, S10_1678   , Reims Collectables
      10134, 7/1/2003 0:00  ,  3884.34, Shipped   ,      3,        7,    2003,               2,              41,     94.74, S10_1678   , Lyon Souveniers
      10145, 8/25/2003 0:00 ,  3746.7 , Shipped   ,      3,        8,    2003,               6,              45,     83.26, S10_1678   , Toys4GrownUps.com
      10159, 10/10/2003 0:00,  5205.27, Shipped   ,      4,       10,    2003,              14,              49,    100.0 , S10_1678   , Corporate Gift Ideas Co.
      10168, 10/28/2003 0:00,  3479.76, Shipped   ,      4,       10,    2003,               1,              36,     96.66, S10_1678   , Technics Stores Inc.
      10201, 12/1/2003 0:00 ,  2168.54, Shipped   ,      4,       12,    2003,               2,              22,     98.57, S10_1678   , Mini Wheels Co.
      10237, 4/5/2004 0:00  ,  2333.12, Shipped   ,      2,        4,    2004,               7,              23,    100.0 , S10_1678   , Vitachrome Inc.
      10251, 5/18/2004 0:00 ,  3188.64, Shipped   ,      2,        5,    2004,               2,              28,    100.0 , S10_1678   , Tekni Collectables Inc.
      10263, 6/28/2004 0:00 ,  3676.76, Shipped   ,      2,        6,    2004,               2,              34,    100.0 , S10_1678   , Gift Depot Inc.
      10285, 8/27/2004 0:00 ,  4099.68, Shipped   ,      3,        8,    2004,               6,              36,    100.0 , S10_1678   , Marta's Replicas Co.
      10309, 10/15/2004 0:00,  4394.38, Shipped   ,      4,       10,    2004,               5,              41,    100.0 , S10_1678   , Baane Mini Imports
      10318, 11/2/2004 0:00 ,  4358.04, Shipped   ,      4,       11,    2004,               1,              46,     94.74, S10_1678   , Diecast Classics Inc.
      10329, 11/15/2004 0:00,  4396.14, Shipped   ,      4,       11,    2004,               1,              42,    100.0 , S10_1678   , Land of Toys Inc.
      10341, 11/24/2004 0:00,  7737.93, Shipped   ,      4,       11,    2004,               9,              41,    100.0 , S10_1678   , Salzburg Collectables
      10388, 3/3/2005 0:00  ,  3207.12, Shipped   ,      1,        3,    2005,               4,              42,     76.36, S10_1678   , FunGiftIdeas.com
      10103, 1/29/2003 0:00 ,  5404.62, Shipped   ,      1,        1,    2003,              11,              26,    100.0 , S10_1949   , Baane Mini Imports
      10140, 7/24/2003 0:00 ,  7374.1 , Shipped   ,      3,        7,    2003,              11,              37,    100.0 , S10_1949   , Technics Stores Inc.
      10163, 10/20/2003 0:00,  4860.24, Shipped   ,      4,       10,    2003,               1,              21,    100.0 , S10_1949   , Classic Legends Inc.
      10206, 12/5/2003 0:00 ,  9064.89, Shipped   ,      4,       12,    2003,               6,              47,    100.0 , S10_1949   , Canadian Gift Exchange Network
      10215, 1/29/2004 0:00 ,  6075.3 , Shipped   ,      1,        1,    2004,               3,              35,    100.0 , S10_1949   , West Coast Collectables Co.
      10228, 3/10/2004 0:00 ,  6463.23, Shipped   ,      1,        3,    2004,               2,              29,    100.0 , S10_1949   , Cambridge Collectables Co.
      10245, 5/4/2004 0:00  ,  6120.34, Shipped   ,      2,        5,    2004,               9,              34,    100.0 , S10_1949   , Super Scale Inc.
      10280, 8/17/2004 0:00 ,  8014.82, Shipped   ,      3,        8,    2004,               2,              34,    100.0 , S10_1949   , Amica Models & Co.
      10291, 9/8/2004 0:00  ,  7136.19, Shipped   ,      3,        9,    2004,              11,              37,    100.0 , S10_1949   , Scandinavian Gift Ideas
      10312, 10/21/2004 0:00, 11623.7 , Shipped   ,      4,       10,    2004,               3,              48,    100.0 , S10_1949   , Mini Gifts Distributors Ltd.
      10322, 11/4/2004 0:00 ,  6000.4 , Shipped   ,      4,       11,    2004,               1,              40,    100.0 , S10_1949   , Online Diecast Creations Co.
      10333, 11/18/2004 0:00,  3003.0 , Shipped   ,      4,       11,    2004,               3,              26,    100.0 , S10_1949   , Mini Wheels Co.
      10357, 12/10/2004 0:00,  5691.84, Shipped   ,      4,       12,    2004,              10,              32,    100.0 , S10_1949   , Mini Gifts Distributors Ltd.
      10369, 1/20/2005 0:00 ,  4514.92, Shipped   ,      1,        1,    2005,               2,              41,    100.0 , S10_1949   , Collectables For Less Inc.
      10381, 2/17/2005 0:00 ,  8254.8 , Shipped   ,      1,        2,    2005,               3,              36,    100.0 , S10_1949   , Corporate Gift Ideas Co.
      10411, 5/1/2005 0:00  ,  4140.23, Shipped   ,      2,        5,    2005,               9,              23,    100.0 , S10_1949   , Quebec Home Shopping Network
      10107, 2/24/2003 0:00 ,  3896.49, Shipped   ,      1,        2,    2003,               5,              39,     99.91, S10_2016   , Land of Toys Inc.
      10134, 7/1/2003 0:00  ,  3307.77, Shipped   ,      3,        7,    2003,               5,              27,    100.0 , S10_2016   , Lyon Souveniers
      10145, 8/25/2003 0:00 ,  5192.95, Shipped   ,      3,        8,    2003,               9,              37,    100.0 , S10_2016   , Toys4GrownUps.com
      10159, 10/10/2003 0:00,  5016.83, Shipped   ,      4,       10,    2003,              17,              37,    100.0 , S10_2016   , Corporate Gift Ideas Co.
      10168, 10/28/2003 0:00,  3660.93, Shipped   ,      4,       10,    2003,               4,              27,    100.0 , S10_2016   , Technics Stores Inc.
      10201, 12/1/2003 0:00 ,  3025.92, Shipped   ,      4,       12,    2003,               5,              24,    100.0 , S10_2016   , Mini Wheels Co.
      10236, 4/3/2004 0:00  ,  2852.08, Shipped   ,      2,        4,    2004,               1,              22,    100.0 , S10_2016   , Motor Mint Distributors Inc.
      10251, 5/18/2004 0:00 ,  5756.52, Shipped   ,      2,        5,    2004,               5,              44,    100.0 , S10_2016   , Tekni Collectables Inc.
      10263, 6/28/2004 0:00 ,  4472.0 , Shipped   ,      2,        6,    2004,               5,              40,    100.0 , S10_2016   , Gift Depot Inc.
      10285, 8/27/2004 0:00 ,  6484.59, Shipped   ,      3,        8,    2004,               9,              47,    100.0 , S10_2016   , Marta's Replicas Co.
      10308, 10/15/2004 0:00,  4043.96, Shipped   ,      4,       10,    2004,               2,              34,    100.0 , S10_2016   , Mini Classics
      10318, 11/2/2004 0:00 ,  5566.5 , Shipped   ,      4,       11,    2004,               4,              45,    100.0 , S10_2016   , Diecast Classics Inc.
      10329, 11/15/2004 0:00,  3176.0 , Shipped   ,      4,       11,    2004,               2,              20,    100.0 , S10_2016   , Land of Toys Inc.
      10388, 3/3/2005 0:00  ,  2225.5 , Shipped   ,      1,        3,    2005,               5,              50,     44.51, S10_2016   , FunGiftIdeas.com
